strategy,group,rate,hits,winners,avg_cands,ev
Σ±1 TD med±5 SD,Med-TD,18.0,18,100,116,-44.3
Σ±1 TD med±5,Med-TD,18.0,18,100,116,-44.3
Σ±3 TD med±5 SD,Med-TD,19.0,19,100,123,-47.1
Σ±3 TD med±5,Med-TD,19.0,19,100,123,-47.1
Σ±2 TD med±5 SD,Med-TD,18.0,18,100,120,-48.4
Σ±2 TD med±5,Med-TD,18.0,18,100,120,-48.4
Σ±3 TD[q1→max+5],Asym-TD,64.0,64,100,307,-51.0
Σ±3 TD[q1→max+5] SD,Asym-TD,64.0,64,100,307,-51.0
Σ med±2 TD±2 SD,Med-Center,24.0,24,100,149,-53.2
Σ med±2 TD±0 SD,Med-Center,22.0,22,100,142,-53.6
Σ±2 TD[q1→max+5],Asym-TD,61.0,61,100,300,-55.6
Σ±2 TD[q1→max+5] SD,Asym-TD,61.0,61,100,300,-55.6
Σ±1 TD[q1→max+5],Asym-TD,58.0,58,100,289,-57.0
Σ±1 TD[q1→max+5] SD,Asym-TD,58.0,58,100,289,-57.0
Σ med±2 TD±0,Med-Center,22.0,22,100,146,-57.6
Σ±1 TD med±10 SD,Med-TD,34.0,34,100,195,-59.1
Σ med±2 TD±2,Med-Center,24.0,24,100,155,-59.2
Σ med±3 TD±0 SD,Med-Center,34.0,34,100,195,-59.4
Σ±1 TD med±10,Med-TD,34.0,34,100,196,-59.7
Σ med±3 TD±2 SD,Med-Center,36.0,36,100,205,-61.4
Σ±3 TD med±10 SD,Med-TD,36.0,36,100,206,-62.5
Σ±3 TD med±10,Med-TD,36.0,36,100,207,-63.1
Σ±1 TD med±7 SD,Med-TD,22.0,22,100,152,-64.2
Σ±1 TD med±7,Med-TD,22.0,22,100,152,-64.5
Σ med±3 TD±0,Med-Center,34.0,34,100,201,-64.7
Σ±3 TD med±7 SD,Med-TD,24.0,24,100,161,-65.0
Σ±3 TD med±7,Med-TD,24.0,24,100,161,-65.2
Σ±2 TD med±10 SD,Med-TD,34.0,34,100,202,-65.9
Σ±2 TD med±10,Med-TD,34.0,34,100,202,-66.5
Σ med±4 TD±0 SD,Med-Center,44.0,44,100,244,-68.3
Σ med±3 TD±2,Med-Center,36.0,36,100,213,-69.3
Σ±2 TD med±7 SD,Med-TD,22.0,22,100,157,-69.4
Σ±2 TD med±7,Med-TD,22.0,22,100,158,-69.7
Σ med±4 TD±2 SD,Med-Center,46.0,46,100,257,-72.9
Σ IQR±0 TD±0 SD,IQR-Sum,42.0,42,100,243,-74.6
Σ med±4 TD±0,Med-Center,44.0,44,100,251,-75.1
Σ IQR±0 TD±2 SD,IQR-Sum,44.0,44,100,255,-78.6
Σ IQR±1 TD±0 SD,IQR-Sum,52.0,52,100,287,-78.7
Σ IQR±0 TD±0,IQR-Sum,42.0,42,100,248,-80.5
Σ IQR±2 TD±0 SD,IQR-Sum,61.0,61,100,326,-82.3
Σ med±4 TD±2,Med-Center,46.0,46,100,267,-83.1
Σ IQR±1 TD±2 SD,IQR-Sum,54.0,54,100,301,-85.0
Σ IQR±1 TD±0,IQR-Sum,52.0,52,100,294,-85.9
Σ IQR±2 TD±2 SD,IQR-Sum,64.0,64,100,343,-86.6
Σ IQR±0 TD±2,IQR-Sum,44.0,44,100,264,-87.6
Σ IQR±2 TD±0,IQR-Sum,61.0,61,100,335,-90.8
Σ IQR±3 TD±0 SD,IQR-Sum,66.0,66,100,359,-95.5
Σ IQR±1 TD±2,IQR-Sum,54.0,54,100,312,-95.9
Σ med±5 TD±0 SD,Med-Center,48.0,48,100,290,-98.2
Σ IQR±2 TD±2,IQR-Sum,64.0,64,100,355,-99.2
Σ med±5 TD±2 SD,Med-Center,51.0,51,100,305,-101.0
Σ IQR±3 TD±2 SD,IQR-Sum,69.0,69,100,378,-101.6
Σ IQR±3 TD±0,IQR-Sum,66.0,66,100,369,-105.3
Σ med±6 TD±0 SD,Med-Center,56.0,56,100,330,-105.7
Σ med±5 TD±0,Med-Center,48.0,48,100,298,-106.1
Σ med±6 TD±2 SD,Med-Center,59.0,59,100,346,-110.3
Σ med±5 TD±2,Med-Center,51.0,51,100,317,-112.9
Σ±0 TD±0 SD,Baseline,71.0,71,100,398,-113.6
Σ med±6 TD±0,Med-Center,56.0,56,100,339,-115.3
Σ IQR±3 TD±2,IQR-Sum,69.0,69,100,392,-116.2
Σ±0 TD±2 SD,Baseline,74.0,74,100,418,-121.8
Σ med±6 TD±2,Med-Center,59.0,59,100,360,-124.4
Σ±1 TD±0 SD,Baseline,73.0,73,100,418,-126.1
Σ±0 TD±0,Baseline,71.0,71,100,410,-126.4
Σ±3 TD±0 SD,Baseline,80.0,80,100,447,-127.1
Σ±2 TD±0 SD,Baseline,76.0,76,100,434,-130.4
Σ±1 TD±2 SD,Baseline,76.0,76,100,439,-135.3
Σ±3 TD±2 SD,Baseline,83.0,83,100,470,-137.8
Σ±1 TD±0,Baseline,73.0,73,100,432,-140.0
Σ±0 TD±2,Baseline,74.0,74,100,436,-140.1
Σ±2 TD±2 SD,Baseline,79.0,79,100,457,-140.7
Σ±3 TD±0,Baseline,80.0,80,100,462,-142.4
Σ±2 TD±0,Baseline,76.0,76,100,449,-145.0
All10 Σ±1 TD±0 SD,All-Digits,74.0,74,100,446,-149.7
Σ±1 TD±2,Baseline,76.0,76,100,459,-155.3
All10 Σ±2 TD±0 SD,All-Digits,77.0,77,100,464,-155.6
Σ±3 TD±2,Baseline,84.0,84,100,492,-156.2
All10 Σ±1 TD±2 SD,All-Digits,77.0,77,100,469,-160.7
Σ±2 TD±2,Baseline,79.0,79,100,478,-161.9
All10 Σ±1 TD±0,All-Digits,74.0,74,100,460,-163.9
All10 Σ±2 TD±2 SD,All-Digits,80.0,80,100,488,-167.7
All10 Σ±2 TD±0,All-Digits,77.0,77,100,478,-170.4
All10 Σ±1 TD±2,All-Digits,77.0,77,100,489,-181.4
All10 Σ±2 TD±2,All-Digits,80.0,80,100,510,-189.6
